Date    	Days	documents * accesses	documents * bytes	documents * visits	documents / accesses	documents / bytes	documents / visits
6/17/2001	7	               12.00	            14500.00	                5.00	                5.00	             3284.00	                5.00
6/24/2001	7	               15.00	            17841.00	               12.00	               12.00	             9492.00	               12.00
7/1/2001	7	                9.00	            13095.00	                6.00	                6.00	             4746.00	                6.00
7/8/2001	7	              537.00	           881695.00	               31.00	               24.00	            84654.00	               23.00
7/15/2001	7	              731.00	          1313591.00	               58.00	               23.00	           121551.00	               22.00
7/22/2001	7	              341.00	           512245.00	               31.00	               16.00	            95910.00	               16.00
7/29/2001	7	             1309.00	          3844692.00	               72.00	               32.00	           150225.00	               31.00
8/5/2001	7	             1320.00	          3152428.00	               68.00	               34.00	           174261.00	               34.00
8/12/2001	7	              564.00	          1391184.00	               57.00	               26.00	            61301.00	               25.00
8/19/2001	7	             3597.00	          7605733.00	               92.00	               95.00	           340722.00	               57.00
8/26/2001	7	             1906.00	          8515129.00	               97.00	               57.00	           179028.00	               39.00
9/2/2001	7	             2500.00	         15760577.00	              172.00	               86.00	            58112.00	               73.00
9/9/2001	7	              637.00	          5926861.00	               77.00	               32.00	            18160.00	               29.00
9/16/2001	7	              476.00	          3063641.00	               39.00	               24.00	             9080.00	               21.00
9/23/2001	7	             2410.00	         37688974.00	              148.00	              103.00	           126220.00	               69.00
9/30/2001	7	              558.00	          7446687.00	               54.00	               33.00	            61571.00	               31.00
10/7/2001	7	              313.00	          4224194.00	               20.00	               15.00	            16062.00	               15.00
10/14/2001	7	              250.00	          4862169.00	               70.00	               12.00	            18739.00	               12.00
10/21/2001	7	              486.00	          4772322.00	               89.00	               31.00	            63624.00	               27.00
10/28/2001	7	               88.00	           701817.00	               10.00	                8.00	            18375.00	                8.00
11/4/2001	7	              130.00	          1747073.00	               17.00	                9.00	            15750.00	                8.00
11/11/2001	7	              108.00	           994056.00	               15.00	               12.00	            26250.00	               12.00
11/18/2001	7	              137.00	          2461337.00	               23.00	               13.00	            28875.00	               13.00
11/25/2001	7	              185.00	          2364044.00	               50.00	               11.00	            23625.00	               11.00
12/2/2001	7	              247.00	          3088837.00	               28.00	               16.00	            36750.00	               16.00
12/9/2001	7	              143.00	          1581421.00	               11.00	               12.00	            26250.00	               11.00
12/16/2001	7	               85.00	          1404420.00	                5.00	                5.00	            10500.00	                5.00
12/23/2001	7	              108.00	          1745953.00	               13.00	                9.00	            21000.00	                9.00
12/30/2001	7	               91.00	           804471.00	                9.00	                8.00	            21000.00	                8.00
1/6/2002	7	              127.00	          2487160.00	               32.00	               10.00	            26250.00	               10.00
1/13/2002	7	              107.00	          1154459.00	               30.00	               13.00	            31500.00	               11.00
1/20/2002	7	               62.00	           743748.00	                9.00	                6.00	            15750.00	                6.00
1/27/2002	7	              115.00	          1922736.00	               12.00	               12.00	            26250.00	               12.00
2/3/2002	7	               65.00	          1240033.00	                7.00	                6.00	            15750.00	                6.00
2/10/2002	7	               49.00	           618890.00	                7.00	                7.00	            18375.00	                7.00
2/17/2002	7	               75.00	           857660.00	               16.00	                9.00	            23625.00	                9.00
2/24/2002	7	               26.00	           265655.00	                5.00	                5.00	            13125.00	                5.00
3/3/2002	7	               43.00	           610771.00	                5.00	                5.00	            13125.00	                5.00
3/10/2002	7	               63.00	          1118099.00	                5.00	                6.00	            10500.00	                5.00
3/17/2002	7	               64.00	          1119035.00	                9.00	                6.00	            15750.00	                6.00
3/24/2002	7	               37.00	           611841.00	                6.00	                6.00	            15750.00	                6.00
3/31/2002	7	               31.00	           601366.00	                4.00	                4.00	             7875.00	                4.00
4/7/2002	7	               40.00	            90779.00	                5.00	                5.00	            10500.00	                5.00
4/14/2002	7	              130.00	          1583408.00	               34.00	               10.00	            21000.00	                9.00
4/21/2002	7	               18.00	            66860.00	                7.00	                7.00	            13125.00	                7.00
4/28/2002	7	              150.00	          2240600.00	                9.00	                8.00	            13125.00	                8.00
5/5/2002	7	               28.00	           118463.00	                8.00	                6.00	            13125.00	                6.00
5/12/2002	7	               43.00	           699969.00	                4.00	                3.00	             5250.00	                3.00
5/19/2002	7	               35.00	           207786.00	                6.00	                6.00	            10500.00	                6.00
5/26/2002	7	               32.00	           130118.00	                7.00	                5.00	             7875.00	                5.00
6/2/2002	7	              106.00	           905390.00	               12.00	               12.00	            28875.00	               12.00
6/9/2002	7	               83.00	           940013.00	                9.00	                8.00	            13125.00	                8.00
6/16/2002	7	               44.00	           209560.00	                9.00	                8.00	            15750.00	                8.00
6/23/2002	7	               14.00	            61610.00	                3.00	                3.00	             7875.00	                3.00
6/30/2002	7	               70.00	           764225.00	               18.00	                7.00	            15750.00	                6.00
7/7/2002	7	               12.00	            40036.00	                5.00	                4.00	             7875.00	                4.00
7/14/2002	7	               64.00	           927924.00	                5.00	                5.00	            13125.00	                4.00
7/21/2002	7	               40.00	           508094.00	               10.00	                8.00	            15750.00	                8.00
7/28/2002	7	               30.00	           283256.00	                9.00	                9.00	            21000.00	                9.00
8/4/2002	7	               58.00	           449824.00	               11.00	                7.00	             7875.00	                6.00
8/11/2002	7	                1.00	             2625.00	                1.00	                1.00	             2625.00	                1.00
8/18/2002	7	               34.00	           623068.00	                5.00	                5.00	            13125.00	                5.00
8/25/2002	7	               47.00	           161583.00	                4.00	                4.00	             2625.00	                4.00
9/1/2002	7	               33.00	           313549.00	               18.00	                7.00	            18375.00	                6.00
9/8/2002	7	               12.00	            33615.00	                7.00	                8.00	             7875.00	                7.00
9/15/2002	7	               28.00	           118478.00	                4.00	                4.00	            10500.00	                4.00
9/22/2002	7	               31.00	           516624.00	                7.00	                3.00	             7875.00	                3.00
9/29/2002	7	               79.00	           998193.00	                7.00	               16.00	            10500.00	                6.00
10/6/2002	7	               52.00	           654255.00	                8.00	                9.00	            18375.00	                8.00
10/13/2002	7	               54.00	           521467.00	                8.00	                7.00	            10500.00	                6.00
10/20/2002	7	                4.00	            10500.00	                4.00	                4.00	            10500.00	                4.00
10/27/2002	7	               88.00	          1510766.00	               13.00	               11.00	            23625.00	               11.00
11/3/2002	7	               66.00	           472663.00	               27.00	               11.00	            21000.00	               10.00
11/10/2002	7	               25.00	           119580.00	               20.00	                7.00	            13125.00	                7.00
11/17/2002	7	               41.00	           359640.00	                7.00	                6.00	            13125.00	                6.00
11/24/2002	7	                3.00	             5250.00	                3.00	                1.00	                0.00	                1.00
12/1/2002	7	               37.00	           615836.00	                7.00	                6.00	            13125.00	                6.00
12/8/2002	7	              154.00	          1793932.00	               11.00	                9.00	            10500.00	                6.00
12/15/2002	7	               76.00	          1499820.00	                7.00	                7.00	            10500.00	                7.00
12/22/2002	7	               35.00	           556728.00	               15.00	                4.00	             7875.00	                4.00
12/29/2002	7	               41.00	           501776.00	               11.00	                5.00	            10500.00	                5.00
1/5/2003	7	               62.00	           594932.00	               20.00	                9.00	            13125.00	                9.00
1/12/2003	7	              527.00	          5953730.00	               31.00	               34.00	            52500.00	               18.00
1/19/2003	7	               93.00	          1167603.00	               24.00	               16.00	            31500.00	               15.00
1/26/2003	7	               48.00	           246418.00	               29.00	               12.00	            28875.00	               12.00
2/2/2003	7	               27.00	           230134.00	               12.00	               11.00	            15750.00	               11.00
2/9/2003	7	               82.00	           722720.00	               17.00	               12.00	            23625.00	               12.00
2/16/2003	7	               24.00	            82661.00	               16.00	               14.00	            21000.00	               14.00
2/23/2003	7	               56.00	           989403.00	               20.00	               12.00	            26250.00	               12.00
3/2/2003	7	              106.00	          1160823.00	               42.00	               17.00	            34125.00	               15.00
3/9/2003	7	               74.00	          1171584.00	               24.00	               13.00	            28875.00	               13.00
3/16/2003	7	               20.00	            80484.00	                8.00	                6.00	            10500.00	                6.00
3/23/2003	7	               37.00	           480471.00	               22.00	               13.00	            23625.00	               12.00
3/30/2003	7	               80.00	           857333.00	               26.00	                9.00	            15750.00	                9.00
4/6/2003	7	               82.00	           753865.00	               26.00	               16.00	            26250.00	               16.00
4/13/2003	7	              317.00	          5270952.00	               49.00	               33.00	            73500.00	               31.00
4/20/2003	7	              289.00	          4069006.00	               63.00	               30.00	            63000.00	               29.00
4/27/2003	7	              194.00	          1471883.00	               46.00	               26.00	            57750.00	               26.00
5/4/2003	7	              128.00	          1311640.00	               41.00	               28.00	            52500.00	               27.00
5/11/2003	7	               59.00	           463694.00	               19.00	               10.00	            23625.00	               10.00
5/18/2003	7	               44.00	           411079.00	               13.00	               10.00	            18375.00	                9.00
5/25/2003	7	               39.00	           308129.00	               16.00	                5.00	            10500.00	                4.00
6/1/2003	7	               38.00	           192268.00	               15.00	                8.00	            15750.00	                8.00
6/8/2003	7	               71.00	           584205.00	               22.00	               20.00	            39375.00	               19.00
6/15/2003	7	               35.00	           112934.00	               19.00	               12.00	            18375.00	               11.00
6/22/2003	7	               12.00	             5250.00	                8.00	               10.00	             2625.00	                6.00
6/29/2003	7	                8.00	             7875.00	                8.00	                2.00	             2625.00	                2.00
7/6/2003	7	               11.00	             5250.00	               11.00	                5.00	                0.00	                5.00
7/13/2003	7	                4.00	             2625.00	                4.00	                1.00	                0.00	                1.00
7/20/2003	7	               27.00	           222342.00	                9.00	                6.00	             2625.00	                6.00
7/27/2003	7	              113.00	          1058618.00	               13.00	               11.00	            21000.00	                8.00
8/3/2003	7	               29.00	           147265.00	               20.00	               14.00	            36750.00	               14.00
8/10/2003	7	               46.00	           333524.00	               22.00	               18.00	            39375.00	               18.00
8/17/2003	7	             1406.00	          4341876.00	             1329.00	             1311.00	          3433500.00	             1309.00
8/24/2003	7	             1689.00	          4767095.00	             1650.00	             1652.00	          4333875.00	             1647.00
8/31/2003	7	             1396.00	          4255692.00	             1341.00	             1343.00	          3525375.00	             1340.00
9/7/2003	7	             1250.00	          3767781.00	             1220.00	             1209.00	          3171000.00	             1209.00
9/14/2003	7	             1402.00	          5184338.00	             1332.00	             1306.00	          3417750.00	             1305.00
9/21/2003	7	             1209.00	          3250187.00	             1163.00	             1155.00	          3026625.00	             1154.00
9/28/2003	7	             1067.00	          2995646.00	             1050.00	             1044.00	          2735250.00	             1044.00
10/5/2003	7	             1181.00	          4208644.00	             1116.00	             1109.00	          2892750.00	             1107.00
10/12/2003	7	             1142.00	          3046084.00	             1129.00	             1115.00	          2913750.00	             1115.00
10/19/2003	7	             1214.00	          3789064.00	             1175.00	             1159.00	          3037125.00	             1159.00
10/26/2003	7	             1253.00	          3325592.00	             1250.00	             1244.00	          3262298.00	             1244.00
11/2/2003	7	             1438.00	          5090296.00	             1332.00	             1320.00	          3454500.00	             1319.00
11/9/2003	7	             1285.00	          4418338.00	             1222.00	             1211.00	          3168375.00	             1211.00
11/16/2003	7	              901.00	          3483564.00	              824.00	              834.00	          2134125.00	              816.00
11/23/2003	7	              786.00	          3445404.00	              722.00	              687.00	          1792875.00	              687.00
11/30/2003	7	             1233.00	          3266610.00	             1222.00	             1218.00	          3197250.00	             1218.00
12/7/2003	7	             2458.00	          6568042.00	             2434.00	             2425.00	          6357750.00	             2425.00
12/14/2003	7	             2517.00	          7934192.00	             2383.00	             2363.00	          6181875.00	             2362.00
12/21/2003	7	             2396.00	          6776278.00	             2349.00	             2340.00	          6134625.00	             2339.00
12/28/2003	7	             1769.00	          4653738.00	             1763.00	             1753.00	          4591125.00	             1752.00
1/4/2004	7	              797.00	          3199025.00	              731.00	              725.00	          1900500.00	              725.00
1/11/2004	7	              491.00	          1359790.00	              450.00	              442.00	          1144500.00	              442.00
1/18/2004	7	              353.00	          1578822.00	              323.00	              308.00	           803250.00	              307.00
1/25/2004	7	              315.00	          2139488.00	              233.00	              219.00	           564375.00	              218.00
2/1/2004	7	              209.00	           869423.00	              192.00	              182.00	           467250.00	              182.00
2/8/2004	7	              152.00	           695548.00	              133.00	              124.00	           322875.00	              124.00
2/15/2004	7	              239.00	          1946183.00	              155.00	              141.00	           367500.00	              141.00
2/22/2004	7	              199.00	          1072973.00	              162.00	              150.00	           388500.00	              150.00
2/29/2004	7	              194.00	          1199832.00	              138.00	              123.00	           315000.00	              123.00
3/7/2004	7	              247.00	          2384098.00	              139.00	              134.00	           346500.00	              134.00
3/14/2004	7	              267.00	          2420167.00	              160.00	              129.00	           333375.00	              129.00
3/21/2004	7	              209.00	          1510630.00	              132.00	              120.00	           304500.00	              120.00
3/28/2004	7	              184.00	           957137.00	              144.00	              135.00	           354375.00	              134.00
4/4/2004	7	              176.00	          1075459.00	              128.00	              115.00	           299250.00	              115.00
4/11/2004	7	              142.00	           443979.00	              120.00	              115.00	           296625.00	              115.00
4/18/2004	7	              232.00	          2076288.00	              135.00	              129.00	           333375.00	              127.00
4/25/2004	7	              160.00	          1307045.00	              100.00	              100.00	           257250.00	              100.00
5/2/2004	7	              152.00	          1159489.00	               78.00	               74.00	           189000.00	               73.00
5/9/2004	7	               94.00	           304846.00	               81.00	               79.00	           204750.00	               79.00
5/16/2004	7	              145.00	           684862.00	               88.00	               84.00	           212625.00	               84.00
5/23/2004	7	              138.00	          1512323.00	               70.00	               68.00	           175875.00	               68.00
5/30/2004	7	              118.00	           814285.00	               50.00	               41.00	            99750.00	               41.00
6/6/2004	7	               92.00	           951329.00	               43.00	               34.00	            78750.00	               32.00
6/13/2004	7	               65.00	           227508.00	               42.00	               30.00	            76125.00	               30.00
6/20/2004	7	               58.00	           587537.00	               27.00	               24.00	            63000.00	               24.00
6/27/2004	7	              105.00	           997359.00	               37.00	               21.00	            55125.00	               21.00
7/4/2004	7	               79.00	           684084.00	               26.00	               22.00	            47250.00	               21.00
7/11/2004	7	               99.00	           841294.00	               24.00	               22.00	            47250.00	               19.00
7/18/2004	7	               34.00	           210323.00	               24.00	               19.00	            49875.00	               19.00
7/25/2004	7	               67.00	           270380.00	               25.00	               20.00	            49875.00	               19.00
8/1/2004	7	              101.00	          1395720.00	               25.00	               15.00	            36750.00	               15.00
8/8/2004	7	              150.00	          2385370.00	               34.00	               24.00	            52500.00	               23.00
8/15/2004	7	              188.00	          3159382.00	               26.00	               25.00	            57750.00	               24.00
8/22/2004	7	              165.00	          2365033.00	               35.00	               24.00	            55125.00	               23.00
8/29/2004	7	               47.00	           156611.00	               23.00	               20.00	            44625.00	               20.00
9/5/2004	7	              107.00	           660968.00	               29.00	               18.00	            39375.00	               18.00
9/12/2004	7	              192.00	          2099813.00	               25.00	               22.00	            55125.00	               18.00
9/19/2004	7	               81.00	           729399.00	               35.00	               19.00	            49875.00	               17.00
9/26/2004	7	              112.00	           550610.00	               48.00	               20.00	            52500.00	               20.00
10/3/2004	7	              156.00	          2301622.00	               25.00	               19.00	            49875.00	               17.00
10/10/2004	7	               94.00	           991518.00	               31.00	               17.00	            39375.00	               17.00
10/17/2004	7	              154.00	          1377450.00	               55.00	               25.00	            57750.00	               25.00
10/24/2004	7	              119.00	          1217189.00	               33.00	               20.00	            52500.00	               19.00
10/31/2004	7	               97.00	          1292524.00	               32.00	               21.00	            55125.00	               21.00
